@relation training_set

@attribute ISBAD {FALSE,TRUE}
@attribute HTML_NUMCHARACTERS numeric
@attribute HTML_PERCENTSCRIPTCONTENT numeric
@attribute HTML_PERCENTWHITESPACE numeric
@attribute HTML_PERCENTUNOWNELEMENTS numeric
@attribute HTML_NUMSCRIPTS numeric
@attribute HTML_NUMSCRIPTSWRONGEXTENTION numeric
@attribute HTML_NUMBERIFRAMES numeric
@attribute HTML_NUMUNSAFEINCLUDEDURL numeric
@attribute IP_ADDRESS_A numeric
@attribute TOKEN_SUBDOMAIN_LENGTH numeric
@attribute TOKEN_NUMBER_SUBDOMAINS numeric
@attribute TOKEN_DOMAIN_LENGTH numeric

@data
FALSE,1,0,0,0,0,0,0,0,66,0,0,7
TRUE,2,0,0,0,0,0,0,0,217,10,1,6
TRUE,2,0,0,0,0,0,0,0,176,0,0,12
TRUE,2,0,50,0,0,0,0,0,76,0,0,15
TRUE,3,0,33.333333,0,0,0,0,0,110,9,2,12
TRUE,3,0,0,0,0,0,0,0,88,0,0,10
TRUE,3,0,0,0,0,0,0,0,88,0,0,10
TRUE,3,0,0,0,0,0,0,0,213,0,0,13
TRUE,4,0,0,0,0,0,0,0,174,0,0,11
TRUE,4,0,0,0,0,0,0,0,97,0,0,19
TRUE,5,0,0,0,0,0,0,0,31,0,0,16
TRUE,5,0,20,0,0,0,0,0,74,0,0,11
TRUE,6,0,0,0,0,0,0,0,188,0,0,16
TRUE,6,0,16.666667,0,0,0,0,0,121,4,1,9
TRUE,6,0,0,0,0,0,0,0,67,0,0,22
TRUE,7,0,14.285714,0,0,0,0,0,206,0,0,14
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
TRUE,8,0,0,0,0,0,0,0,?,0,0,10
